employee_id,name,role,department,manager
73-7459466,Germaine Swabey,Accounting Assistant I,Business Development,Tracy Wellesley
00-3145143,Chase Batting,Payment Adjustment Coordinator,Sales,Borden Giovanardi
44-8118427,Roxine Sherrin,Analog Circuit Design manager,Services,Beth Gadman
58-4586121,Jules Jobbings,Account Representative III,Engineering,Vernice Pragnell
38-3430061,Currey Arrault,Research Assistant IV,Human Resources,Micki Stepto
75-7475898,Joy Hateley,Graphic Designer,Marketing,Myrtie Gorrissen
60-6503792,Jaquith Twede,Librarian,Accounting,Dollie Purvess
08-1069168,Carmina Leal,Software Consultant,Sales,Doria Newstead
03-0262427,Marielle Jacomb,Product Engineer,Marketing,Bancroft Paskell
09-8354493,Packston Capnor,Senior Developer,Marketing,Davine Moss
96-1807442,Sigfrid Menicomb,Pharmacist,Legal,Garry Leyzell
40-0555181,Eyde Tamsett,Systems Administrator III,Sales,Elly Sesons
62-0077768,Kylie Campione,VP Accounting,Research and Development,Allx L'Homme
39-2935462,Hamel Cloney,Paralegal,Marketing,Ninnetta Carlino
26-7056984,Raffarty Heatley,Editor,Engineering,Petronille Kulicke
72-3415795,Gale Haire,Social Worker,Research and Development,Bryon Belitz
62-1664705,Grover Lease,Software Consultant,Engineering,Edgar Abramovitz
02-3553103,Franky Malloy,Senior Quality Engineer,Engineering,Kaia Lethebridge
35-1513964,Gibbie O'Keaveny,Senior Sales Associate,Accounting,Harmonia Jillions
80-5623685,Janean Kitman,Sales Representative,Services,Christalle McKendo
88-9166079,Rozelle Sumnall,Graphic Designer,Human Resources,Kris Luto
32-3654035,Fanny Course,Compensation Analyst,Accounting,Koren Brewin
82-5241791,Giorgio McDermid,Biostatistician IV,Product Management,Gerri Chaloner
13-0891700,Connor Panter,Structural Analysis Engineer,Marketing,Wilone Ship
90-0828421,Adolph Buzzing,Speech Pathologist,Marketing,Analiese Fulker
88-2272001,Thurstan Trunks,Recruiting Manager,Human Resources,Jacqui Carrol
42-1779145,Lodovico Dawtry,Senior Editor,Business Development,Kurtis Galloway
94-8780910,Celesta Ivic,Graphic Designer,Engineering,Kira Ritchman
36-8133649,Lorita Moorcroft,GIS Technical Architect,Services,Hy Manicomb
93-9978168,Glendon MacMychem,Biostatistician II,Services,Carlie Bewshaw
51-0602873,Roselia Balle,Executive Secretary,Human Resources,Toma Lipprose
42-8341167,Berkeley Runcieman,Research Assistant IV,Sales,Kiel Losseljong
39-7744772,Robby Edson,Nurse Practicioner,Accounting,Kevin Valiant
67-5427038,Darrell Ivers,Assistant Professor,Accounting,Ralina Simonds
80-0768184,Jaquenette Bellringer,Software Test Engineer I,Sales,Tad Jepp
53-4442741,Dillon Ivashnyov,Programmer Analyst III,Human Resources,Willi Gallandre
59-2213191,Lucine Twentyman,Software Test Engineer III,Business Development,Marys Chastanet
56-6723140,Tyrus Cowern,Chief Design Engineer,Support,Corinne Gardiner
71-1851884,Woody Barwood,Account Executive,Accounting,Katharina Clayworth
70-8038337,Eadith Goodier,General Manager,Accounting,Judie Nacci
74-4973627,Kippie Ferreres,Computer Systems Analyst I,Marketing,Percy Wixon
04-0749600,Serena Ockland,Structural Engineer,Legal,Denice Manuel
39-7018117,Codie Isaacs,Data Coordiator,Human Resources,Sibel Bamford
61-3446785,Jillian Moles,Research Associate,Human Resources,Troy Baird
15-7176541,Garrett Gowthrop,Accounting Assistant III,Business Development,Meggi Disley
47-4950910,Lily Vedeniktov,VP Product Management,Business Development,Salim Goodluck
93-1870678,Leontyne Sprakes,Social Worker,Sales,Emmerich Dollman
15-7703666,Thedrick Loxdale,Biostatistician III,Training,Niles Frye
62-5888233,Felix Curton,Legal Assistant,Services,Alden Hedon
67-2872632,Sandye Trillow,Analyst Programmer,Support,Dyna Tugwell
48-2611415,Martynne Butchard,Administrative Assistant II,Product Management,Ginny Atrill
82-2250859,Bette-ann Liepina,Senior Developer,Product Management,Howey Thursby
63-6369700,Vassily Burrill,Staff Scientist,Product Management,Ewell Warlock
64-7307623,Svend Feldmesser,Computer Systems Analyst I,Legal,Korrie Trevaskus
98-1280821,Kennith Keming,Assistant Professor,Business Development,Erminia Adds
62-7837778,Brynn Kivlin,Sales Associate,Product Management,Keriann Thorndale
43-9117684,Redd Redsull,Web Designer IV,Engineering,Gayle Jacqueme
67-2586215,Garold Guidi,Human Resources Manager,Business Development,Bartie Palfreyman
22-5223741,Omero Le Frank,Editor,Product Management,Selig Henricsson
48-1274883,Carmelina Cavanaugh,Senior Editor,Product Management,Maynard Caswall
02-0449232,Bev De Vries,Dental Hygienist,Research and Development,Fabien Huckle
93-2262595,Alexandra Kilmurry,Desktop Support Technician,Product Management,Kiley Gitting
36-0956375,Madelene Paoletti,Community Outreach Specialist,Engineering,Isiahi Burl
82-1997439,Jordanna Littleproud,Marketing Assistant,Business Development,Pyotr Clayhill
31-3324955,Portia Khan,Senior Editor,Engineering,Blondell Frichley
67-7279977,Nani Fenwick,Chief Design Engineer,Business Development,Johannah Dearnly
21-4918926,Wes Belham,Associate Professor,Marketing,Anette Nise
16-7491147,Gayla Sidaway,Speech Pathologist,Human Resources,Orly Greason
97-3123397,Urbanus Osgerby,Community Outreach Specialist,Marketing,Winthrop Meineck
